date,day_number,platform,content_format,topic_title,hook_line,key_points,cta,repurpose_notes,pillar
2026-07-06,1,YouTube,long-form video,30 Days of Startup Stress With a CGM: My Baseline Week,I strapped on a CGM during a founder sprint. The first 7 days exposed the meal and meeting pattern crushing my afternoons.,fasting glucose baseline; biggest lunch spike pattern; energy crash timing vs calendar load; founder-budget experiment rules,Subscribe to the Founder Longevity Lab newsletter,Cut 3x 45s vertical clips for TikTok Tue/Wed/Fri; pull 5 chart screenshots into an Instagram carousel on Tuesday.,longevity protocols & N=1 experiments
2026-07-06,1,Instagram,Reel,Why I’m Running a Founder CGM Experiment Instead of Buying More Supplements,"If you are sleep-deprived and stressed, another capsule is not your first bottleneck. Your data probably is.",week focus: Baseline week; one founder constraint; one measurable takeaway,Comment DASHBOARD and I’ll DM the tracking template,Re-edit the YouTube opener into a 35s Reel with on-screen charts; save strongest line for Thursday Story recap.,longevity protocols & N=1 experiments
2026-07-06,1,TikTok,TikTok,My CGM Caught What My Productivity App Missed,I thought I had a focus problem. The glucose graph says I had a lunch problem.,arc: 30-day CGM under startup stress; strongest chart reveal; founder-budget takeaway,Follow for the next data drop in this 90-day series,Use a fast-cut native version of the Monday YouTube reveal; repost the best comment response as a Friday clip.,longevity protocols & N=1 experiments
2026-07-07,2,Instagram,carousel,My Founder CGM Baseline Dashboard: 5 Charts That Matter,Most people screenshot one glucose spike. I care about the weekly pattern that repeats when startup life gets messy.,chart 1 baseline or comparison; chart 2 biggest surprise; chart 3 founder takeaway; chart 4 next test,Save this post for your next health stack audit,Export charts from the YouTube dashboard walkthrough; adapt slide 1 and slide 4 into a LinkedIn-style screenshot for future reuse.,longevity protocols & N=1 experiments
2026-07-07,2,TikTok,TikTok,Stop Guessing Which Meals Work for Founders,Seven days of CGM data beat seven years of “healthy” food assumptions.,one contrarian claim; one chart or anecdote; one immediate action,Comment DATA and I’ll DM the dashboard template,Record natively with a tighter hook than the YouTube cut; reuse subtitles from the clip for an Instagram Story poll on Wednesday.,longevity protocols & N=1 experiments
2026-07-08,3,Instagram,Story,A Day in the Founder CGM Log,"Here is how I tag meetings, meals, workouts, and crashes so the experiment is actually useful.",behind-the-scenes setup; one screenshot from the tracker; one poll or Q&A sticker,Reply FOUNDERS and I’ll share the exact checklist,Turn the best Story question into a Saturday TikTok response; archive the screenshots for a future monthly recap carousel.,founder journey/build-in-public
2026-07-08,3,TikTok,TikTok,How I Label Startup Stress Inside My Health Dashboard,"If you do not tag investor meetings and shipping days, your wearable data becomes noise.",problem most creators oversimplify; what I tested instead; what changed in practice,Follow for the full Thursday write-up,Film as a direct-to-camera native explainer; lift the closing sentence into Thursday Substack email preview text.,science explainers
2026-07-09,4,Substack,Substack essay,CGM Week 1 Methodology: How I’m Measuring Glucose Under Real Startup Stress,"Before sharing hot takes, I’m publishing the rules, meals, and dashboard behind the 30-day founder CGM experiment.",methods and caveats; raw data table summary; evidence grade; founder-budget recommendation,Subscribe to the Founder Longevity Lab newsletter,Embed 2 chart screenshots from the week; spin out the strongest paragraph into Friday Instagram carousel caption and next Monday YouTube intro.,science explainers
2026-07-09,4,YouTube,YouTube Short,The 11:47 AM Meal That Blew Up My Baseline CGM,One default founder lunch spiked me harder than dessert. The graph made the fix obvious.,single dramatic chart moment; one plain-English lesson; one next step,Watch the full breakdown on YouTube,Clip the highest-retention 30s moment from Monday’s long-form; repost natively to Instagram Reels on Thursday night if it spikes early.,longevity protocols & N=1 experiments
2026-07-09,4,Instagram,Reel,3 CGM Rules I Set Before Day 8,"Without rules, self-tracking becomes content theater. These constraints keep the data honest.",one myth to correct; one mechanism or chart; one realistic founder action,Share this with a founder who is overcomplicating health,Use the same core script as the Thursday YouTube Short with a different first line; cut still frames into Story slides after publishing.,science explainers
